ad_id;company;title;city;salary_from_eur;salary_to_eur;first_seen;last_seen;expires_at;remote_type;url
1635673;CV-Online Recruitment;Vecākais datu arhitekts/-e;Rīga;7000;8000;2026-08-10;2026-08-31;2026-09-07T23:59:59.999+00:00;HYBRID;https://www.cv.lv/lv/vacancy/1635673
1635677;CV-Online Recruitment;Senior Data Architect;Rīga;7000;8000;2026-08-10;2026-08-31;2026-09-07T23:59:59.999+00:00;HYBRID;https://www.cv.lv/lv/vacancy/1635677
1643199;CV-Online Recruitment;Vecākais datu inženieris/-e, datu integrācija;Rīga;5000;6000;2026-08-20;2026-08-31;2026-09-20T23:59:59.999+00:00;HYBRID;https://www.cv.lv/lv/vacancy/1643199
1643212;CV-Online Recruitment;Senior Data Engineer - Data Integration;Rīga;5000;6000;2026-08-20;2026-08-31;2026-09-20T23:59:59.999+00:00;HYBRID;https://www.cv.lv/lv/vacancy/1643212
1646879;Latvijas Valsts radio un televīzijas centrs VAS;Biznesa virziena vadītājs/-a (Uzticamības un elektroniskās identifikācijas pakalpojumi);Rīga;4800;5000;2026-08-27;2026-08-31;2026-09-17T23:59:59.999+00:00;HYBRID;https://www.cv.lv/lv/vacancy/1646879
1647683;Eiropas dzelzceļa līnijas SIA;Projekta plānošanas un kontroles departamenta direktors/-e;Rīga;4600;;2026-08-28;2026-08-31;2026-09-14T23:59:59.999+00:00;HYBRID;https://www.cv.lv/lv/vacancy/1647683
1647714;CV-Online Recruitment klients;Loģistikas direktors/-e;Rīga;4500;;2026-08-28;2026-08-31;2026-09-11T23:59:59.999+00:00;ON_SITE;https://www.cv.lv/lv/vacancy/1647714
1643162;CV-Online Recruitment;Vecākais/-ā datu inženieris-e - datu risinājumi;Rīga;4500;5500;2026-08-20;2026-08-31;2026-09-20T23:59:59.999+00:00;HYBRID;https://www.cv.lv/lv/vacancy/1643162
1643170;CV-Online Recruitment;Senior Data Engineer - Data Solutions;Rīga;4500;5500;2026-08-20;2026-08-31;2026-09-20T23:59:59.999+00:00;HYBRID;https://www.cv.lv/lv/vacancy/1643170
1634093;Jet Finance LLP, Fintech;Head of Data Platform — YUSR Group;Rīga;4500;8500;2026-08-07;2026-08-31;2026-09-07T23:59:59.999+00:00;HYBRID;https://www.cv.lv/lv/vacancy/1634093
1644410;Mintos;Security Operations Analyst;Rīga;4400;4800;2026-08-24;2026-08-31;2026-09-24T23:59:59.999+00:00;ON_SITE;https://www.cv.lv/lv/vacancy/1644410
