ad_id,company,title,city,top_match_experience,top_match_score,matched_skills,url
1635673,CV-Online Recruitment,Vecākais datu arhitekts/-e,Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,0,,https://www.cv.lv/lv/vacancy/1635673
1635677,CV-Online Recruitment,Senior Data Architect,Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,1,data modelling; data reconciliation,https://www.cv.lv/lv/vacancy/1635677
1643199,CV-Online Recruitment,"Vecākais datu inženieris/-e, datu integrācija",Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,0,,https://www.cv.lv/lv/vacancy/1643199
1643212,CV-Online Recruitment,Senior Data Engineer - Data Integration,Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,1,data modelling; data reconciliation,https://www.cv.lv/lv/vacancy/1643212
1646879,Latvijas Valsts radio un televīzijas centrs VAS,Biznesa virziena vadītājs/-a (Uzticamības un elektroniskās identifikācijas pakalpojumi),Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,1,,https://www.cv.lv/lv/vacancy/1646879
1647683,Eiropas dzelzceļa līnijas SIA,Projekta plānošanas un kontroles departamenta direktors/-e,Rīga,Demand Planner and Operations Analyst @ SIA Himalaya Wellness Latvia,1,,https://www.cv.lv/lv/vacancy/1647683
1647714,CV-Online Recruitment klients,Loģistikas direktors/-e,Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,0,,https://www.cv.lv/lv/vacancy/1647714
1643162,CV-Online Recruitment,Vecākais/-ā datu inženieris-e - datu risinājumi,Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,0,,https://www.cv.lv/lv/vacancy/1643162
1643170,CV-Online Recruitment,Senior Data Engineer - Data Solutions,Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,1,data modelling; data reconciliation,https://www.cv.lv/lv/vacancy/1643170
1634093,"Jet Finance LLP, Fintech",Head of Data Platform — YUSR Group,Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,1,data modelling; data reconciliation,https://www.cv.lv/lv/vacancy/1634093
1644410,Mintos,Security Operations Analyst,Rīga,Demand Planner and Operations Analyst @ SIA Himalaya Wellness Latvia,2,,https://www.cv.lv/lv/vacancy/1644410
1648497,WorkingDay Latvia,Biznesa virziena vadītājs/-a,Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,1,,https://www.cv.lv/lv/vacancy/1648497
1646890,CV-Online Recruitment,AI un automatizācijas biznesa partneris/-e,Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,1,,https://www.cv.lv/lv/vacancy/1646890
